Station Name,OTTAWA INTL A,http://climate.weather.gc.ca/climate_data/daily_data_e.html?hlyRange=2011-12-14%7C2019-02-11&dlyRange=2011-12-15%7C2019-02-11&mlyRange=%7C&StationID=49568&Prov=ON&urlExtension=_e.html&searchType=stnName&optLimit=yearRange&StartYear=1840&EndYear=2019&selRowPerPage=25&Line=14&searchMethod=contains&Month=12&Day=12&txtStationName=ottawa&timeframe=2&Year=2018,,,,,,,,,,,,,,,,,,,,,,,,
Province,ONTARIO,,,,,,,,,,,,,,,,,,,,,,,,,
Current Station Operator,NAV Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,45.32,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-75.67,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation,114.9,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Identifier,6106001,,,,,,,,,,,,,,,,,,,,,,,,,
WMO Identifier,71628,,,,,,,,,,,,,,,,,,,,,,,,,
TC Identifier,YOW,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Accumulated,,,,,,,,,,,,,,,,,,,,,,,,,
C,"Precipitation occurred, amount uncertain",,,,,,,,,,,,,,,,,,,,,,,,,
E,Estimated,,,,,,,,,,,,,,,,,,,,,,,,,
F,Accumulated and estimated,,,,,,,,,,,,,,,,,,,,,,,,,
L,Precipitation may or may not have occurred,,,,,,,,,,,,,,,,,,,,,,,,,
M,Missing,,,,,,,,,,,,,,,,,,,,,,,,,
N,Temperature missing but known to be > 0,,,,,,,,,,,,,,,,,,,,,,,,,
S,More than one occurrence,,,,,,,,,,,,,,,,,,,,,,,,,
T,Trace,,,,,,,,,,,,,,,,,,,,,,,,,
Y,Temperature missing but known to be < 0,,,,,,,,,,,,,,,,,,,,,,,,,
[empty],No data available,,,,,,,,,,,,,,,,,,,,,,,,,
^,The value displayed is based on incomplete data,,,,,,,,,,,,,,,,,,,,,,,,,
†,Data that is not subject to review by the National Climate Archives,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
01/01/2015,2015,1,1,,-3,,-8.1,,-5.6,,23.6,,0,,0,,0.2,,0.2,,0,,23,,56,
02/01/2015,2015,1,2,,-3.8,,-15.8,,-9.8,,27.8,,0,,0,,0,T,0,T,0,T,28,,50,
03/01/2015,2015,1,3,,-9.6,,-15.5,,-12.6,,30.6,,0,,0,,18,,13.6,,0,T,7,,43,
04/01/2015,2015,1,4,,-0.4,,-9.6,,-5,,23,,0,,10.8,,0.4,,11.2,,16,,29,,54,
05/01/2015,2015,1,5,,-8.6,,-21.9,,-15.3,,33.3,,0,,0,,0,T,0,T,15,,28,,56,
06/01/2015,2015,1,6,,-9.6,,-24.8,,-17.2,,35.2,,0,,0,,0.6,,0.4,,15,,,,<31,
07/01/2015,2015,1,7,,-10.3,,-29,,-19.7,,37.7,,0,,0,,2,,0.8,,16,,32,,61,
08/01/2015,2015,1,8,,-8.4,,-29.9,,-19.2,,37.2,,0,,0,,2.6,,1.6,,15,,20,,48,
09/01/2015,2015,1,9,,-6.3,,-15.8,,-11.1,,29.1,,0,,0,,4.4,,2.6,,20,,26,,54,
10/01/2015,2015,1,10,,-9.5,,-16.8,,-13.2,,31.2,,0,,0,,0,,0,,20,,21,,46,
11/01/2015,2015,1,11,,-3.5,,-13.7,,-8.6,,26.6,,0,,0,,0.4,,0.2,,20,,,,<31,
12/01/2015,2015,1,12,,-2.4,,-20.2,,-11.3,,29.3,,0,,0,,5.6,,2.8,,23,,34,,52,
13/01/2015,2015,1,13,,-17.3,,-24.8,,-21.1,,39.1,,0,,0,,0,,0,,25,,35,,35,
14/01/2015,2015,1,14,,-13.6,,-26.3,,-20,,38,,0,,0,,0,,0,,25,,,,<31,
15/01/2015,2015,1,15,,-3.7,,-22.1,,-12.9,,30.9,,0,,0,,2,,1.6,,25,,20,,41,
16/01/2015,2015,1,16,,-3,,-22,,-12.5,,30.5,,0,,0,,1,,0.4,,26,,30,,59,
17/01/2015,2015,1,17,,-14.9,,-26.9,,-20.9,,38.9,,0,,0,,0,,0,,26,,10,,43,
18/01/2015,2015,1,18,,4.4,,-15.2,,-5.4,,23.4,,0,,0.6,,0,,0.6,,26,,17,,39,
19/01/2015,2015,1,19,,0.3,,-16.6,,-8.2,,26.2,,0,,0,,4,,2,,29,,29,,52,
20/01/2015,2015,1,20,,-14.9,,-20.9,,-17.9,,35.9,,0,,0,,0,,0,,26,,28,,35,
21/01/2015,2015,1,21,,-9.9,,-21.6,,-15.8,,33.8,,0,,0,,0,,0,,26,,,,<31,
22/01/2015,2015,1,22,,-7.8,,-19.7,,-13.8,,31.8,,0,,0,,0,,0,,26,,,,<31,
23/01/2015,2015,1,23,,0.1,,-11.9,,-5.9,,23.9,,0,,0,,0,T,0,T,24,,20,,56,
24/01/2015,2015,1,24,,-1.8,,-5.2,,-3.5,,21.5,,0,,0,,2.8,,1.2,,23,,32,,56,
25/01/2015,2015,1,25,,-5.2,,-18.4,,-11.8,,29.8,,0,,0,,0.4,,0,T,25,,32,,57,
26/01/2015,2015,1,26,,-13.5,,-24.2,,-18.9,,36.9,,0,,0,,0,,0,,25,,5,,35,
27/01/2015,2015,1,27,,-9.2,,-17.5,,-13.4,,31.4,,0,,0,,0,,0,,25,,33,,33,
28/01/2015,2015,1,28,,-8,,-18.8,,-13.4,,31.4,,0,,0,,0,,0,,25,,33,,32,
29/01/2015,2015,1,29,,-7,,-20,,-13.5,,31.5,,0,,2.4,,7.4,,9,,25,,8,,39,
30/01/2015,2015,1,30,,-5.5,,-20.6,,-13.1,,31.1,,0,,0,,3,,1.6,,33,,32,,56,
31/01/2015,2015,1,31,,-13.9,,-25.2,,-19.6,,37.6,,0,,0,,1,,0.4,,33,,,,<31,
01/02/2015,2015,2,1,,-13.9,,-20.3,,-17.1,,35.1,,0,,0,,0,T,0,,34,,33,,43,
02/02/2015,2015,2,2,,-14.7,,-23.1,,-18.9,,36.9,,0,,0,,5.4,,3,,35,,5,,52,
03/02/2015,2015,2,3,,-7.8,,-26,,-16.9,,34.9,,0,,0,,0.2,,0.2,,39,,21,,33,
04/02/2015,2015,2,4,,-5,,-12.7,,-8.9,,26.9,,0,,0,,9.2,,4.4,,39,,34,,43,
05/02/2015,2015,2,5,,-12.2,,-25.3,,-18.8,,36.8,,0,,0,,0,,0,,46,,27,,33,
06/02/2015,2015,2,6,,-7.9,,-22.8,,-15.4,,33.4,,0,,0,,1.8,,1.2,,46,,,,<31,
07/02/2015,2015,2,7,,-10.8,,-15.1,,-13,,31,,0,,0,,2.6,,2.2,,45,,3,,39,
08/02/2015,2015,2,8,,-13.4,,-17.5,,-15.5,,33.5,,0,,0,,5.6,,4,,47,,5,,50,
09/02/2015,2015,2,9,,-12.1,,-15.5,,-13.8,,31.8,,0,,0,,0.4,,0.2,,51,,8,,46,
10/02/2015,2015,2,10,,-4.6,,-13.1,,-8.9,,26.9,,0,,0,,0,T,0,T,51,,,,<31,
11/02/2015,2015,2,11,,-11.2,,-17.2,,-14.2,,32.2,,0,,0,,6,,3.4,,50,,9,,33,
12/02/2015,2015,2,12,,-9,,-22.1,,-15.6,,33.6,,0,,0,,6.2,,3.2,,60,,33,,54,
13/02/2015,2015,2,13,,-18.8,,-26.8,,-22.8,,40.8,,0,,0,,0.2,,0,T,55,,29,,35,
14/02/2015,2015,2,14,,-12.9,,-21.4,,-17.2,,35.2,,0,,0,,8.8,,4.6,,59,,8,,41,
15/02/2015,2015,2,15,,-13.6,,-24.1,,-18.9,,36.9,,0,,0,,0,T,0,T,62,,32,,59,
16/02/2015,2015,2,16,,-16.8,,-26.6,,-21.7,,39.7,,0,,0,,0,,0,,61,,28,,46,
17/02/2015,2015,2,17,,-12.8,,-26.4,,-19.6,,37.6,,0,,0,,0,,0,,60,,,,<31,
18/02/2015,2015,2,18,,-7.2,,-22.7,,-15,,33,,0,,0,,0.4,,0.4,,59,,,,<31,
19/02/2015,2015,2,19,,-11.8,,-21.1,,-16.5,,34.5,,0,,0,,2.2,,1.6,,59,,30,,56,
20/02/2015,2015,2,20,,-14.3,,-22.9,,-18.6,,36.6,,0,,0,,0,T,0,T,59,,28,,50,
21/02/2015,2015,2,21,,-10.9,,-20.4,,-15.7,,33.7,,0,,0,,11.8,,8,,58,,,,<31,
22/02/2015,2015,2,22,,-3.5,,-15.7,,-9.6,,27.6,,0,,0,,1.2,,0.4,,66,,29,,50,
23/02/2015,2015,2,23,,-15.6,,-26.8,,-21.2,,39.2,,0,,0,,0,,0,,64,,26,,44,
24/02/2015,2015,2,24,,-9.9,,-25.5,,-17.7,,35.7,,0,,0,,0,T,0,T,63,,18,,50,
25/02/2015,2015,2,25,,-8.1,,-22.1,,-15.1,,33.1,,0,,0,,2.4,,1.2,,62,,30,,52,
26/02/2015,2015,2,26,,-12.8,,-23.4,,-18.1,,36.1,,0,,0,,0,,0,,62,,,,<31,
27/02/2015,2015,2,27,,-7.9,,-26.1,,-17,,35,,0,,0,,0,,0,,62,,,,<31,
28/02/2015,2015,2,28,,-4.8,,-19.3,,-12.1,,30.1,,0,,0,,0,,0,,60,,19,,41,
01/03/2015,2015,3,1,,-3.4,,-16.6,,-10,,28,,0,,0,,0,T,0,T,60,,18,,33,
02/03/2015,2015,3,2,,-2.3,,-16.6,,-9.5,,27.5,,0,,0,,0.2,,0,T,58,,29,,63,
03/03/2015,2015,3,3,,-5.1,,-19.6,,-12.4,,30.4,,0,,0,,5.4,,5,,56,,7,,32,
04/03/2015,2015,3,4,,2.1,,-9.2,,-3.6,,21.6,,0,,0,,0,T,0,T,59,,26,,50,
05/03/2015,2015,3,5,,-9.2,,-21.3,,-15.3,,33.3,,0,,0,,0,T,0,T,56,,27,,43,
06/03/2015,2015,3,6,,-7,,-23.5,,-15.3,,33.3,,0,,0,,0,,0,,56,,20,,54,
07/03/2015,2015,3,7,,-1.5,,-12.4,,-7,,25,,0,,0.2,,0.2,,0.2,,55,,23,,33,
08/03/2015,2015,3,8,,0.1,,-9,,-4.5,,22.5,,0,,0,,2.2,,1.6,,53,,26,,37,
09/03/2015,2015,3,9,,4.9,,-6.3,,-0.7,,18.7,,0,,0,,2,,0.8,,54,,21,,41,
10/03/2015,2015,3,10,,8.3,,-4,,2.2,,15.8,,0,,0,,0,,0,,50,,21,,43,
11/03/2015,2015,3,11,,7.5,,-2.3,,2.6,,15.4,,0,,0,,0,T,0,T,39,,33,,63,
12/03/2015,2015,3,12,,-2.2,,-9.1,,-5.7,,23.7,,0,,0,,0,,0,,28,,31,,52,
13/03/2015,2015,3,13,,-3.7,,-10.2,,-7,,25,,0,,0,,0,T,0,T,24,,8,,35,
14/03/2015,2015,3,14,,-0.5,,-5.2,,-2.9,,20.9,,0,,1.4,,3.6,,4.6,,21,,9,,35,
15/03/2015,2015,3,15,,2.1,,-5.8,,-1.9,,19.9,,0,,0,,3.8,,2.4,,26,,35,,39,
16/03/2015,2015,3,16,,4.6,,-7.7,,-1.6,,19.6,,0,,0,T,0,,0,T,26,,,,<31,
17/03/2015,2015,3,17,,1.4,,-7.4,,-3,,21,,0,,2.4,,0,T,2.4,,20,,33,,78,
18/03/2015,2015,3,18,,-3.9,,-11.4,,-7.7,,25.7,,0,,0,,0,,0,,20,,29,,54,
19/03/2015,2015,3,19,,-1.2,,-13.8,,-7.5,,25.5,,0,,0,,0,,0,,20,,28,,33,
20/03/2015,2015,3,20,,3.9,,-8.6,,-2.4,,20.4,,0,,0,,0,,0,,18,,16,,41,
21/03/2015,2015,3,21,,1.6,,-10.1,,-4.3,,22.3,,0,,1.6,,3.2,,4.4,,16,,29,,63,
22/03/2015,2015,3,22,,-7.9,,-15.4,,-11.7,,29.7,,0,,0,,0,T,0,T,14,,31,,48,
23/03/2015,2015,3,23,,-5.8,,-17,,-11.4,,29.4,,0,,0,,0,,0,,13,,27,,43,
24/03/2015,2015,3,24,,0.8,,-14,,-6.6,,24.6,,0,,0,,0,,0,,13,,,,<31,
25/03/2015,2015,3,25,,4.6,,-8.7,,-2.1,,20.1,,0,,0.4,,0,T,0.4,,12,,15,,48,
26/03/2015,2015,3,26,,4.3,,0.4,,2.4,,15.6,,0,,0,,0,T,0,T,10,,21,,37,
27/03/2015,2015,3,27,,0.4,,-9.2,,-4.4,,22.4,,0,,0,,1.8,,0.8,,9,,32,,39,
28/03/2015,2015,3,28,,-1.3,,-12.4,,-6.9,,24.9,,0,,0,,0,,0,,9,,33,,46,
29/03/2015,2015,3,29,,3.9,,-10.4,,-3.3,,21.3,,0,,0,,0,,0,,8,,18,,44,
30/03/2015,2015,3,30,,5.2,,-0.4,,2.4,,15.6,,0,,2,,0.2,,2,,8,,30,,56,
31/03/2015,2015,3,31,,2.3,,-5.2,,-1.5,,19.5,,0,,0,,0,T,0,T,4,,31,,41,
01/04/2015,2015,4,1,,2.8,,-7.4,,-2.3,,20.3,,0,,0,,0,,0,,4,,29,,39,
02/04/2015,2015,4,2,,15.2,,-2.8,,6.2,,11.8,,0,,2.2,,1.4,,3.2,,5,,19,,43,
03/04/2015,2015,4,3,,15.1,,1.8,,8.5,,9.5,,0,,2.2,,0,,2.2,,0,,25,,37,
04/04/2015,2015,4,4,,1.8,,-4.2,,-1.2,,19.2,,0,,0,,3.4,,2.2,,2,,35,,50,
05/04/2015,2015,4,5,,1.5,,-5.4,,-2,,20,,0,,0,,0,T,0,T,0,,28,,56,
06/04/2015,2015,4,6,,2.3,,-5.9,,-1.8,,19.8,,0,,0.2,,0,T,0.4,,0,,,,<31,
07/04/2015,2015,4,7,,7.8,,-3.3,,2.3,,15.7,,0,,0,,0,,0,,0,,3,,35,
08/04/2015,2015,4,8,,4.2,,-3.7,,0.3,,17.7,,0,,0,,3,,2,,0,,7,,50,
09/04/2015,2015,4,9,,5.6,,-0.4,,2.6,,15.4,,0,,10.6,,0,,10.6,,1,,9,,39,
10/04/2015,2015,4,10,,13.1,,2.4,,7.8,,10.2,,0,,10.2,,0,,10.2,,,,26,,76,
11/04/2015,2015,4,11,,9.9,,0.5,,5.2,,12.8,,0,,0.2,,0.2,,0.4,,0,T,29,,63,
12/04/2015,2015,4,12,,18.9,,0.2,,9.6,,8.4,,0,,0,,0,,0,,,,18,,41,
13/04/2015,2015,4,13,,23.7,,-0.8,,11.5,,6.5,,0,,4,,0,,4,,,,29,,72,
14/04/2015,2015,4,14,,17.4,,3.4,,10.4,,7.6,,0,,0,,0,,0,,,,26,,59,
15/04/2015,2015,4,15,,13.7,,1.1,,7.4,,10.6,,0,,0,,0,,0,,,,33,,44,
16/04/2015,2015,4,16,,18.8,,-1.9,,8.5,,9.5,,0,,0,T,0,,0,T,,,14,,32,
17/04/2015,2015,4,17,,21.5,,6.3,,13.9,,4.1,,0,,0,T,0,,0,T,,,27,,43,
18/04/2015,2015,4,18,,16.1,,3.4,,9.8,,8.2,,0,,0,,0,,0,,,,31,,65,
19/04/2015,2015,4,19,,12.8,,-0.5,,6.2,,11.8,,0,,0,,0,,0,,,,7,,46,
20/04/2015,2015,4,20,,9.7,,3.9,,6.8,,11.2,,0,,24.4,,0,,24.4,,,,7,,46,
21/04/2015,2015,4,21,,12.6,,4.4,,8.5,,9.5,,0,,3,,0,,3,,,,21,,70,
22/04/2015,2015,4,22,,10.4,,1.7,,6.1,,11.9,,0,,1.6,,0,T,1.6,,,,25,,50,
23/04/2015,2015,4,23,,7.3,,-0.7,,3.3,,14.7,,0,,0,,0,T,0,T,,,28,,56,
24/04/2015,2015,4,24,,4.2,,-1,,1.6,,16.4,,0,,0,,0,,0,,,,28,,46,
25/04/2015,2015,4,25,,11.1,,-3.1,,4,,14,,0,,0,,0,,0,,,,29,,43,
26/04/2015,2015,4,26,,13.1,,0.2,,6.7,,11.3,,0,,0,T,0,,0,T,,,36,,39,
27/04/2015,2015,4,27,,16.3,,3.5,,9.9,,8.1,,0,,0,T,0,,0,T,,,34,,41,
28/04/2015,2015,4,28,,20.6,,4.4,,12.5,,5.5,,0,,0,,0,,0,,,,33,,35,
29/04/2015,2015,4,29,,21.5,,4,,12.8,,5.2,,0,,0,,0,,0,,,,9,,43,
30/04/2015,2015,4,30,,18.9,,5.6,,12.3,,5.7,,0,,0,,0,,0,,,,5,,43,
01/05/2015,2015,5,1,,21.5,,8,,14.8,,3.2,,0,,0,T,0,,0,T,,,32,,48,
02/05/2015,2015,5,2,,24.2,,4.6,,14.4,,3.6,,0,,0,,0,,0,,,,26,,37,
